name;vendor_code;price_prepaid;warehouse_main;description;media_img
"Компрессор ECO AE-501-1";AE-501-1;332,70;0;"ВНИМАНИЕ!!!
Уровень масла должен быть немного выше верхней границы красной точки на глазке!
---
Технические характеристики:
Напряжение/частота: 220В/50Гц,
Мощность: 1,8 кВт,
Производительность: 260 л/мин,
Объем масла: 0,3 л,
Объём ресивера: 50 л,
Рабочее давление: 8 атм,
Двигатель: 2850 об/мин,
Количество быстросъемных выходов: 1,
Вес нетто: 31 кг,
Вес брутто: 31,7 кг,
Гарантийный срок: 12 месяцев,
---";https://content.tools.by/images/products/cb-0964475505/Gmj/Gmjxvk6jgrQlWb40k8toUxmBHSOwHPYHhbmGUWIq.jpg
"Компрессор ECO AE-251-3 коаксиальный";AE-251-3;314,02;"10 дней";"Параметры электрической сети: 230 В~, 50 Гц, 1ф, 
Потребляемая мощность: 1.5 кВт, 
Рабочее давление: 0–8 атм, 
Производительность: 235 л/мин, 
Ресивер:24 л, 
Тип: поршневой, 
Тип смазки: масляный, 
Привод: прямой, 
Количество цилиндров: 1, 
Объем масла: 0,25 л, 
Контроль уровня масла: масляной глазок, 
Количество выxодов: 2 быстросъема, 
Количество конденсаторов:1, 
Передвижной: Да, 
Масса нетто: 19,4 кг, 
Масса брутто: 21,6 кг, 
Габариты компрессора: 53,5 x 31 x 60 см, 
Размеры коробки:58 x 29 x 62 см, 
Гарантийный срок: 12 месяцев,
Воздушная трубка с теплоотводом
Регулятор давления
2 быстросъемных выхода
Воздушный фильтр с поролоновым фильтроэлементом
Манометры с металлическим корпусом
Колеса с резиновыми накладками
ВНИМАНИЕ!!!
Уровень масла должен быть немного выше верхней границы красной точки на глазке!
Комплектация,
Компрессор,
Фильтр воздушный,
Колесо транспортировочное (2 шт),
Опорная ножка,
Комплект крепежа.
Компрессор поставляется с компрессорным маслом необходимого объема для стартового запуска компрессора. Масло может быть заправлено в картер компрессорной головы компрессора, либо перелито в отдельную
герметичную емкость для целей транспортировки во избежание утечки из
картера в зависимости от условий транспортировки изделия.

Внимание! В картере могут находиться остатки масла. Это связано с тем, что 100% устройств запускается на производстве после сборки для проверки на работоспособность.
AEF-382M   Фильтр воздушный ECO 38,
AES-18PG   Манометр для компрессора ECO, резьба 18,
AES-14PG   Манометр для компрессора ECO, резьба 14,
AES-414P   Прессостат четырехходовой,
AES-4R   Регулятор давления четырехходовой,
AB-FMT14   Соединение быстросъемное (латунь),
AS-FMT14   Соединение быстросъемное (сталь),
SGK-5   Набор пневмоинструмента ECO 5-в-1,";https://content.tools.by/images/products/cb-1990619200/xbO/xbOpCLiUDHGaYYLjQTtTbvnoHZjZLCgCtOndMI48.jpg
"Компрессор ECO AE-501-3 коаксиальный";AE-501-3;385,86;"10 дней";"Параметры электрической сети: 230 В~, 50 Гц, 1ф , 
Потребляемая мощность: 1.8 кВт , 
Рабочее давление: 0–8 атм , 
Производительность: 260 л/мин , 
Ресивер: 50 л , 
Тип: поршневой , 
Тип смазки: масляный , 
Привод: прямой , 
Количество цилиндров: 1 , 
Объем масла: 0,3 л , 
Контроль уровня масла: масляной глазок , 
Количество выxодов: 2 быстросъема , 
Количество конденсаторов: 1 , 
Передвижной: Да , 
Масса нетто: 27,4 кг, 
Масса брутто: 30,9 кг, 
Габариты компрессора: 66 x 37 x 65 см, 
Размеры коробки: 70 x 33 x 67 см , 
Гарантийный срок: 12 месяцев ,
Увеличенные габариты двигателя (по сравнению с моделью 501-4)
Воздушная трубка с теплоотводом
Регулятор давления
2 быстросъемных выхода
Воздушный фильтр с поролоновым фильтроэлементом
Манометры с металлическим корпусом
Колеса с резиновыми накладками
ВНИМАНИЕ!!!
Уровень масла должен быть немного выше верхней границы красной точки на глазке!
Компрессор поставляется с компрессорным маслом необходимого объема для стартового запуска компрессора. Масло может быть заправлено в картер компрессорной головы компрессора, либо перелито в отдельную
герметичную емкость для целей транспортировки во избежание утечки из
картера в зависимости от условий транспортировки изделия.

Внимание! В картере могут находиться остатки масла. Это связано с тем, что 100% устройств запускается на производстве после сборки для проверки на работоспособность.
Компрессор,
Фильтр воздушный,
Колесо транспортировочное (2 шт),
Опорная ножка (2 шт),
Комплект крепежа.
AES-18PG   Манометр для компрессора ECO, резьба 18,
AES-14PG   Манометр для компрессора ECO, резьба 14,
AES-414P   Прессостат четырехходовой,
AES-4R   Регулятор давления четырехходовой,
AEF-122M   Фильтр воздушный (бумажн. фильтроэлемент, корпус - металл),
AEF-12P   Фильтр воздушный (бумажн. фильтроэлемент, корпус - пластик),
AB-FMT14   Соединение быстросъемное (латунь),
AS-FMT14   Соединение быстросъемное (сталь),
SGK-5   Набор пневмоинструмента ECO 5-в-1,";https://content.tools.by/images/products/cb-0058040136/Abp/AbpjUosS7QhELTGoBLYcJWTNQSLWsNghRrchZ4BH.jpg
"Компрессор ECO AE-502-3 коаксиальный";AE-502-3;625,36;"10 дней";"Параметры электрической сети: 220 В 50 Гц 1ф, 
Потребляемая мощность: 2.2 кВт, 
Рабочее давление: 0–8 атм, 
Производительность: 440 л/мин, 
Ресивер: 50 л, 
Тип: поршневой, 
Тип смазки: масляный, 
Привод: прямой, 
Количество цилиндров: 2, 
Объем масла: 0,4 л, 
Контроль уровня масла: масляной глазок, 
Количество выxодов: 2 быстросъема, 
Количество конденсаторов: 2, 
Передвижной: Да, 
Масса нетто: 37,6 кг, 
Масса брутто: 41,9 кг, 
Габариты компрессора: 66,5 x 37,5 x 63,5 см, 
Размеры коробки: 70 x 34 x 67 см, 
Гарантийный срок: 12 месяцев,
2-цилиндровый
Воздушная трубка с теплоотводом
Регулятор давления
Клапан облегчения запуска компрессора
Дополнительный пусковой конденсатор для облегчения запуска
2 быстросъемных выхода
Воздушный фильтр с поролоновым фильтроэлементом
Манометры с металлическим корпусом
Колеса с резиновыми накладками
ВНИМАНИЕ!!!
Уровень масла должен быть немного выше верхней границы красной точки на глазке!
Компрессор поставляется с компрессорным маслом необходимого объема для стартового запуска компрессора. Масло может быть заправлено в картер компрессорной головы компрессора, либо перелито в отдельную
герметичную емкость для целей транспортировки во избежание утечки из
картера в зависимости от условий транспортировки изделия.

Внимание! В картере могут находиться остатки масла. Это связано с тем, что 100% устройств запускается на производстве после сборки для проверки на работоспособность.
Компрессор,
Фильтр воздушный (2 шт),
Колесо транспортировочное (2 шт),
Опорная ножка (2 шт),
Комплект крепежа.
AES-18PG   Манометр для компрессора ECO, резьба 18,
AES-14PG   Манометр для компрессора ECO, резьба 14,
AES-414P   Прессостат четырехходовой,
AES-4R   Регулятор давления четырехходовой,
AEF-122M   Фильтр воздушный (бумажн. фильтроэлемент, корпус - металл),
AEF-12P   Фильтр воздушный (бумажн. фильтроэлемент, корпус - пластик),
AB-FMT14   Соединение быстросъемное (латунь),
AS-FMT14   Соединение быстросъемное (сталь),
SGK-5   Набор пневмоинструмента ECO 5-в-1,";https://content.tools.by/images/products/cb-0434442591/TKH/TKH1piEq3H8owKWF8GbDEBPARZIGwgrojqfKEyqW.jpg
"Компрессор ECO AE-1005-B1 ременной";AE-1005-B1;967,68;"10 дней";"Параметры электрической сети: 230 В~, 50 Гц, 1ф , 
Потребляемая мощность: 2,2 кВт , 
Рабочее давление: 0–8 атм , 
Производительность: 380 л/мин , 
Ресивер: 100 л , 
Тип: поршневой , 
Тип смазки: масляный , 
Привод: ременной , 
Количество цилиндров: 2 (V-образн) , 
Объем масла: 0,4 л , 
Контроль уровня масла: масляной глазок , 
Количество выxодов: 2 быстросъема , 
Количество конденсаторов: 2 , 
Передвижной: Да , 
Масса нетто: 68 кг , 
Масса брутто: 73,9 кг , 
Габариты компрессора: 110 x 40 x 83,5 см, 
Размеры коробки: 110 x 40 x 83,5 cм , 
Гарантийный срок: 12 месяцев ,
V-образное расположение поршней способствует улучшенному охлаждению
Лопасти на маховике охлаждают гильзы цилиндров и масляный картер
Увеличенный масляный картер, для лучшей смазки и отвода тепла от поршневой группы
Тепловая защита двигателя
Регулировка давления на выходе
Два манометра
Латунный обратный клапан.
Чугунный коллектор.
Компрессор поставляется заправленный маслом.
Компрессор поршневой клино-ременной, масляный, с 2-цилиндровой V-образной помпой.
Компрессор,
Фильтр воздушный (2 шт),
Колесо транспортировочное (4 шт),
Комплект крепежа.
AES-18PG   Манометр для компрессора ECO, резьба 18,
AES-14PG   Манометр для компрессора ECO, резьба 14,
AES-114P   Прессостат одноходовой,
AES-4R   Регулятор давления четырехходовой,
AEF-122M   Фильтр воздушный (бумажн. фильтроэлемент, корпус - металл),
AEF-12P   Фильтр воздушный (бумажн. фильтроэлемент, корпус - пластик),
AB-FMT14   Соединение быстросъемное (латунь),
AS-FMT14   Соединение быстросъемное (сталь),
AEP-22-380   Компрессорная голова,
SGK-5   Набор пневмоинструмента ECO 5-в-1,";https://content.tools.by/images/products/cb-0086558706/9SM/9SMoeD7tdTrvR199xGiozeE95Az2NcyMC5qoNLOB.jpg
"Компрессор ECO AE-251-4 коаксиальный";AE-251-4;332,64;"10 дней";"Параметры электрической сети: 230 В~, 50 Гц, 1ф , 
Потребляемая мощность: 1.8 кВт , 
Рабочее давление: 0–8 атм , 
Производительность: 260 л/мин , 
Ресивер: 24 л , 
Тип: поршневой , 
Тип смазки: масляный , 
Привод: прямой , 
Количество цилиндров: 1 , 
Объем масла: 0,25 л , 
Контроль уровня масла: масляной глазок , 
Количество выxодов: 2 быстросъема , 
Количество конденсаторов: 1 , 
Передвижной: Да , 
Масса нетто: 21,3 кг , 
Масса брутто: 23,5 кг , 
Габариты компрессора: 52 x 31 x 61 см, 
Размеры коробки: 59 x 29 x 58 см , 
Гарантийный срок: 12 месяцев ,
ВНИМАНИЕ!!!
Уровень масла должен быть немного выше верхней границы красной точки на глазке!
Комплектация,
Компрессор,
Фильтр воздушный,
Колесо транспортировочное (2 шт),
Опорная ножка,
Комплект крепежа.
Компрессор поставляется с компрессорным маслом необходимого объема для стартового запуска компрессора. Масло может быть заправлено в картер компрессорной головы компрессора, либо перелито в отдельную
герметичную емкость для целей транспортировки во избежание утечки из
картера в зависимости от условий транспортировки изделия.

Внимание! В картере могут находиться остатки масла. Это связано с тем, что 100% устройств запускается на производстве после сборки для проверки на работоспособность.
AES-18PG   Манометр для компрессора ECO, резьба 18,
AES-14PG   Манометр для компрессора ECO, резьба 14,
AES-414P   Прессостат четырехходовой,
AES-4R   Регулятор давления четырехходовой,
AEF-122M   Фильтр воздушный (бумажн. фильтроэлемент, корпус - металл),
AEF-12P   Фильтр воздушный (бумажн. фильтроэлемент, корпус - пластик),
AB-FMT14   Соединение быстросъемное (латунь),
AS-FMT14   Соединение быстросъемное (сталь),
SGK-5   Набор пневмоинструмента ECO 5-в-1,";https://content.tools.by/images/products/cb-6096874275/pVY/pVYpE40JPJ0EnUBOqEQDU46KJUh28aNi4gfdsVaJ.jpg
"Компрессор ECO AE-705-3 коаксиальный";AE-705-3;678,59;"10 дней";"Параметры электрической сети: 230 В~, 50 Гц, 1ф , 
Потребляемая мощность: 2.2 кВт , 
Рабочее давление: 0–8 атм , 
Производительность: 440 л/мин , 
Ресивер: 70 л , 
Тип: поршневой , 
Тип смазки: масляный , 
Привод: прямой , 
Количество цилиндров: 2 , 
Объем масла: 0,4 л , 
Контроль уровня масла: масляной глазок , 
Количество выxодов: 2 быстросъема , 
Количество конденсаторов: 2 , 
Передвижной: Да , 
Масса нетто: 43,9 кг , 
Масса брутто: 47,85 кг , 
Габариты компрессора: 91 x 37 x 65 см, 
Размеры коробки: 92 x 34 x 66 см , 
Гарантийный срок: 12 месяцев ,
Простая и надежная конструкция компрессора позволяет широко использовать его в бытовых целях
Увеличенный масляный картер, для лучшей смазки и отвода тепла от поршневой группы
Защитные кожуха на головках цилиндров предотвращают от ожогов, делая конструкцию более безопасной
Конденсатор увеличенной емкости для работы на пониженном напряжении
Тепловая защита двигателя
Латунный обратный клапан
Регулировка давления на выходе
Два манометра
Два быстросъема с латунным клапаном.
Поршневой масляный компрессор с прямым приводом.
Компрессор поставляется с компрессорным маслом необходимого объема для стартового запуска компрессора. Масло может быть заправлено в картер компрессорной головы компрессора, либо перелито в отдельную
герметичную емкость для целей транспортировки во избежание утечки из
картера в зависимости от условий транспортировки изделия.

Внимание! В картере могут находиться остатки масла. Это связано с тем, что 100% устройств запускается на производстве после сборки для проверки на работоспособность.
Компрессор,
Фильтр воздушный (2 шт),
Колесо транспортировочное (2 шт),
Опорная ножка (2 шт),
Комплект крепежа.
AES-18PG   Манометр для компрессора ECO, резьба 18,
AES-14PG   Манометр для компрессора ECO, резьба 14,
AES-414P   Прессостат четырехходовой,
AES-4R   Регулятор давления четырехходовой,
AEF-122M   Фильтр воздушный (бумажн. фильтроэлемент, корпус - металл),
AEF-12P   Фильтр воздушный (бумажн. фильтроэлемент, корпус - пластик),
AB-FMT14   Соединение быстросъемное (латунь),
AS-FMT14   Соединение быстросъемное (сталь),
SGK-5   Набор пневмоинструмента ECO 5-в-1,";https://content.tools.by/images/products/cb-1892754600/54T/54THWmlu609IB6LSktqSbWUrp7oc5CSWGmvyXHrP.jpg
"Компрессор ECO AE-705-B1 ременной";AE-705-B1;858,47;"10 дней";"Параметры электрической сети: 230 В~, 50 Гц, 1ф , 
Потребляемая мощность: 2,2 кВт , 
Рабочее давление: 0–8 атм , 
Производительность: 380 л/мин , 
Ресивер: 70 л , 
Тип: поршневой , 
Тип смазки: масляный , 
Привод: ременной , 
Количество цилиндров: 2 (V-образн) , 
Объем масла: 0,4 л , 
Контроль уровня масла: масляной глазок , 
Количество выxодов: 2 быстросъема , 
Количество конденсаторов: 2 , 
Передвижной: Да , 
Масса нетто: 57,8 кг , 
Масса брутто: 63,3 кг , 
Габариты компрессора: 93 x 38 x 77,5 см, 
Размеры коробки: 935 x 385 x 775 мм , 
Гарантийный срок: 12 месяцев ,
V-образное расположение поршней способствует улучшенному охлаждению
Лопасти на маховике охлаждают гильзы цилиндров и масляный картер
Увеличенный масляный картер, для лучшей смазки и отвода тепла от поршневой группы
Тепловая защита двигателя
Регулировка давления на выходе
Два манометра
Латунный обратный клапан.
Чугунный коллектор.
Компрессор поставляется заправленный маслом.
Компрессор,
Фильтр воздушный (2 шт),
Колесо транспортировочное (4 шт),
Комплект крепежа.
AES-18PG   Манометр для компрессора ECO, резьба 18,
AES-14PG   Манометр для компрессора ECO, резьба 14,
AES-114P   Прессостат одноходовой,
AES-4R   Регулятор давления четырехходовой,
AEF-122M   Фильтр воздушный (бумажн. фильтроэлемент, корпус - металл),
AEF-12P   Фильтр воздушный (бумажн. фильтроэлемент, корпус - пластик),
AB-FMT14   Соединение быстросъемное (латунь),
AS-FMT14   Соединение быстросъемное (сталь),
AEP-22-380   Компрессорная голова,
SGK-5   Набор пневмоинструмента ECO 5-в-1,";https://content.tools.by/images/products/cb-0001084464/gIN/gINP7UNSqk7FbTzfYzrouWT3KRcAc0rPDGHIeSfv.jpg
"Компрессор ECO AE-1005-B2 ременной";AE-1005-B2;1101,77;"10 дней";"Параметры электрической сети: 230 В~, 50 Гц, 1ф , 
Потребляемая мощность: 2,2 кВт , 
Рабочее давление: 0–8 атм , 
Производительность: 380 л/мин , 
Ресивер: 100 л (вертик.), 
Тип: поршневой , 
Тип смазки: масляный , 
Привод: ременной , 
Количество цилиндров: 2 (V-образн) , 
Объем масла: 0,4 л , 
Контроль уровня масла: масляной глазок , 
Количество выxодов: 2 быстросъема , 
Количество конденсаторов: 2 , 
Передвижной: Да , 
Масса нетто: 83 кг , 
Масса брутто: 87,4 кг , 
Размеры коробки: 620 x 580 x 1280 мм , 
Гарантийный срок: 12 месяцев ,
V-образное расположение поршней способствует улучшенному охлаждению
Лопасти на маховике охлаждают гильзы цилиндров и масляный картер
Увеличенный масляный картер, для лучшей смазки и отвода тепла от поршневой группы
Ресивер расположен вертикально, для экономии места
Тепловая защита двигателя
Регулировка давления на выходе
Два манометра
Латунный обратный клапан.
Чугунный коллектор.
Компрессор поставляется заправленный маслом.
Компрессор поршневой клино-ременной, масляный, с вертикальным расположением ресивера занимает гораздо меньше места аналогичного компрессора с классическим горизонтальным расположением.
Компрессор,
Фильтр воздушный (2 шт),
Колесо транспортировочное (2 шт),
Опорная ножка (2 шт),
Комплект крепежа.
AES-18PG   Манометр для компрессора ECO, резьба 18,
AES-14PG   Манометр для компрессора ECO, резьба 14,
AES-114P   Прессостат одноходовой,
AES-4R   Регулятор давления четырехходовой,
AEF-122M   Фильтр воздушный (бумажн. фильтроэлемент, корпус - металл),
AEF-12P   Фильтр воздушный (бумажн. фильтроэлемент, корпус - пластик),
AB-FMT14   Соединение быстросъемное (латунь),
AS-FMT14   Соединение быстросъемное (сталь),
AEP-22-380   Компрессорная голова,
SGK-5   Набор пневмоинструмента ECO 5-в-1,";https://content.tools.by/images/products/cb-4292192055/NkW/NkWTZpQOefzuBf16YFWdYpbQhJdgaUQ0FBaRwtQj.jpg
"Компрессор ECO AE-1005-3 коаксиальный";AE-1005-3;766,07;2;"Параметры электрической сети: 230 В~, 50 Гц, 1ф , 
Потребляемая мощность: 2.2 кВт , 
Рабочее давление: 0–8 атм , 
Производительность: 440 л/мин , 
Ресивер: 100 л , 
Тип: поршневой , 
Тип смазки: масляный , 
Привод: прямой , 
Количество цилиндров: 2 , 
Объем масла: 0,4 л , 
Контроль уровня масла: масляной глазок , 
Количество выxодов: 2 быстросъема , 
Количество конденсаторов: 2 , 
Передвижной: Да , 
Масса нетто: 52,4 кг , 
Масса брутто: 56,8 кг , 
Габариты компрессора: 100 x 41,5 x 74 см, 
Размеры коробки: 105 x 37 x 76 см , 
Гарантийный срок: 12 месяцев ,
Простая и надежная конструкция компрессора позволяет широко использовать его в бытовых целях
Увеличенный масляный картер, для лучшей смазки и отвода тепла от поршневой группы
Конденсатор увеличенной емкости для работы на пониженном напряжении
Тепловая защита двигателя
Латунный обратный клапан
Регулировка давления на выходе
Два манометра
Два быстросъема с латунным клапаном.
Поршневой масляный компрессор с прямым приводом.
Компрессор поставляется с компрессорным маслом необходимого объема для стартового запуска компрессора. Масло может быть заправлено в картер компрессорной головы компрессора, либо перелито в отдельную
герметичную емкость для целей транспортировки во избежание утечки из
картера в зависимости от условий транспортировки изделия.

Внимание! В картере могут находиться остатки масла. Это связано с тем, что 100% устройств запускается на производстве после сборки для проверки на работоспособность.
Компрессор,
Фильтр воздушный (2 шт),
Колесо транспортировочное (2 шт),
Опорная ножка (2 шт),
Комплект крепежа.
AES-18PG   Манометр для компрессора ECO, резьба 18,
AES-14PG   Манометр для компрессора ECO, резьба 14,
AES-414P   Прессостат четырехходовой,
AES-4R   Регулятор давления четырехходовой,
AEF-122M   Фильтр воздушный (бумажн. фильтроэлемент, корпус - металл),
AEF-12P   Фильтр воздушный (бумажн. фильтроэлемент, корпус - пластик),
AB-FMT14   Соединение быстросъемное (латунь),
AS-FMT14   Соединение быстросъемное (сталь),
SGK-5   Набор пневмоинструмента ECO 5-в-1,";https://content.tools.by/images/products/cb-2811062268/1rN/1rNzvnaz1pDHgYuzdhuP4jklA3EoPGDuKPc3JKXL.jpg
"Компрессор ECO AE-501-4 коаксиальный";AE-501-4;359,25;"10 дней";"Параметры электрической сети: 220 В 50 Гц 1ф, 
Потребляемая мощность: 1.8 кВт, 
Рабочее давление: 0–8 атм, 
Производительность: 260 л/мин, 
Ресивер: 50 л, 
Тип: поршневой, 
Тип смазки: масляный, 
Привод: прямой, 
Количество цилиндров: 1, 
Объем масла: 0,3 л, 
Контроль уровня масла: масляной глазок, 
Количество выxодов: 2 , 
Количество конденсаторов: 1, 
Передвижной: Да, 
Масса нетто: 25,9 кг, 
Масса брутто: 28,5 кг, 
Габариты компрессора: 66 x 37 x 64 см, 
Размеры коробки: 75 x 32 x 61 см , 
Гарантийный срок: 12 месяцев ,
Регулятор давления
2 выхода ( быстросъем и кран с переходником ) -
Воздушный фильтр с поролоновым фильтроэлементом
Манометры с пластиковым корпусом
Колеса с резиновыми накладками
ВНИМАНИЕ!!!
Уровень масла должен быть немного выше верхней границы красной точки на глазке!
Компрессор поставляется с компрессорным маслом необходимого объема для стартового запуска компрессора. Масло может быть заправлено в картер компрессорной головы компрессора, либо перелито в отдельную
герметичную емкость для целей транспортировки во избежание утечки из
картера в зависимости от условий транспортировки изделия.

Внимание! В картере могут находиться остатки масла. Это связано с тем, что 100% устройств запускается на производстве после сборки для проверки на работоспособность.
Компрессор,
Фильтр воздушный,
Колесо транспортировочное (2 шт),
Опорная ножка (2 шт),
Комплект крепежа,
Сапун.
AES-18PG   Манометр для компрессора ECO, резьба 18,
AES-14PG   Манометр для компрессора ECO, резьба 14,
AES-414P   Прессостат четырехходовой,
AES-4R   Регулятор давления четырехходовой,
AEF-122M   Фильтр воздушный (бумажн. фильтроэлемент, корпус - металл),
AEF-12P   Фильтр воздушный (бумажн. фильтроэлемент, корпус - пластик),
AB-FMT14   Соединение быстросъемное (латунь),
AS-FMT14   Соединение быстросъемное (сталь),
SGK-5   Набор пневмоинструмента ECO 5-в-1,";https://content.tools.by/images/products/cb-0822614500/g1u/g1uzWcEkkbI25lRl85KgK3Q5qnxXalBBnbBCeJgz.jpg
"Компрессор ECO AE-1005-2 ременной";AE-1005-2;1182,87;"10 дней";"Параметры электрической сети: 380 В~, 50 Гц, 3ф , 
Потребляемая мощность: 3,0 кВт , 
Рабочее давление: 0–8 атм , 
Производительность: 580 л/мин , 
Ресивер: 100 л , 
Тип: поршневой , 
Тип смазки: масляный , 
Привод: ременной , 
Количество цилиндров: 3 (W-образн) , 
Объем масла: 0,75 л , 
Контроль уровня масла: масляной глазок , 
Количество выxодов: 2 , 
Передвижной: Да , 
Масса нетто: 87,8 кг , 
Масса брутто: 99,8 кг , 
Габариты компрессора: 116 x 43 x 83,5 см , 
Размеры коробки: 120 x 49 x 88 см , 
Гарантийный срок: 12 месяцев ,
W-образное расположение поршней способствует улучшенному охлаждению
Лопасти на маховике охлаждают гильзы цилиндров и масляный картер
Увеличенный масляный картер, для лучшей смазки и отвода тепла от поршневой группы
Тепловая защита двигателя
Регулировка давления на выходе
Два манометра
Латунный обратный клапан.
Чугунный коллектор.
Компрессор поставляется заправленный маслом.
Компрессор поршневой клино-ременной, масляный, с 3-цилиндровой W-образной помпой.
Компрессор,
Фильтр воздушный (3 шт),
Колесо транспортировочное (4 шт),
Комплект крепежа.";https://content.tools.by/images/products/cv-4844046726/KIj/KIjHxu4fJJizhwvbgJKP4CAeyQH0L4Wd78fP85hI.jpg
"Компрессор ECO AE-2005-2 ременной";AE-2005-2;1591,35;"10 дней";"Параметры электрической сети: 380 В~, 50 Гц, 3ф, 
Потребляемая мощность: 3,0 кВт, 
Рабочее давление: 0–8 атм, 
Производительность: 580 л/мин, 
Ресивер: 200 л, 
Тип: поршневой, 
Тип смазки: масляный, 
Привод: ременной, 
Количество цилиндров: 3 (W-образн), 
Объем масла: 0,75 л, 
Контроль уровня масла: масляной глазок, 
Количество выxодов: 2, 
Передвижной: Да, 
Масса нетто: 113,4 кг, 
Масса брутто: 136,8 кг, 
Габариты компрессора: 147 x 47,5 x 96 см, 
Гарантийный срок: 12 месяцев,
W-образное расположение поршней способствует улучшенному охлаждению
Лопасти на маховике охлаждают гильзы цилиндров и масляный картер
Увеличенный масляный картер, для лучшей смазки и отвода тепла от поршневой группы
Тепловая защита двигателя
Регулировка давления на выходе
Два манометра
Латунный обратный клапан.
Чугунный коллектор.
Компрессор поставляется заправленный маслом.
Компрессор поршневой клино-ременной, масляный, с 3-цилиндровой W-образной помпой.
Компрессор,
Фильтр воздушный (3 шт),
Колесо транспортировочное (4 шт),
Комплект крепежа.";https://content.tools.by/images/products/cv-3802946076/Z3t/Z3tdTOxG8jD1zAtl54KRBBiDarfvezDlCi87X44D.jpg
